sonde,hr,tem,u_wind,v_wind,sid,sshs,rmw,quad,dist,duct
data/sondes/qc/HURR1_/g120915310QC.nc,0.0017565118969428493,207.41000213623045,5.9775095,0.024549885,2012234N16315,0.0,60.0,1,355.1742831089131,False
data/sondes/qc/HURR1_/g120915313QC.nc,0.001647385961057993,205.26000061035154,-1.254786,-2.0816495,2012234N16315,0.0,45.0,3,407.1586053952797,False
data/sondes/qc/HURR1_/g120915314QC.nc,0.0016987628473927317,206.81000366210935,4.126957,10.334671,2012234N16315,0.0,45.0,4,470.4935293574284,False
data/sondes/qc/HURR1_/g120915315QC.nc,0.0016695413288567254,207.6200012207031,3.5470748,-1.7489612,2014236N22288,1.0,40.0,2,197.93407404835256,False
data/sondes/qc/HURR1_/g120915317QC.nc,0.002074429337969602,214.0300010681152,1.5916685,7.046008,2014210N10323,0.0,30.0,2,940.4811934029117,True
data/sondes/qc/HURR1_/g120915319QC.nc,1.2924802132755733,288.2500003814697,41.733685,2.5285695,2014254N14327,2.0,15.0,3,308.4363151275617,False
data/sondes/qc/HURR1_/g120915320QC.nc,1.355046155383336,288.5899995803833,43.05617,-2.1116056,2014254N14327,2.0,15.0,3,291.4139410864672,False
data/sondes/qc/HURR1_/g120925004QC.nc,0.9128162642026295,279.0799998283386,-0.16417918,4.6199665,2015237N14315,0.0,50.0,1,214.45167711214785,False
data/sondes/qc/HURR1_/g120925006QC.nc,0.0045146896629289545,210.99000015258787,9.5739565,8.933845,2014284N10231,1.0,20.0,4,450.49617723473904,True
data/sondes/qc/HURR1_/g120925009QC.nc,0.03305326763853784,238.08999862670896,6.45182,10.753592,2014284N10231,0.0,20.0,2,883.727970431741,True
data/sondes/qc/HURR1_/g120925011QC.nc,1.4348350078664913,287.20000019073484,-37.463444,18.957563,2014285N16305,4.0,17.0,3,130.37977445859883,False
data/sondes/qc/HURR1_/g120925012QC.nc,0.0016127230786700051,205.2000030517578,-5.6434455,-4.85893,2014284N10231,0.0,20.0,4,270.3986009227236,False
data/sondes/qc/HURR1_/g120925013QC.nc,0.001266226718143171,208.4500030517578,-0.6548542,23.460989,2014284N10231,0.0,22.0,2,1345.0907182049946,False
data/sondes/qc/HURR1_/g120925016QC.nc,,212.94000091552732,-4.444864,4.904835,2014236N22288,1.0,40.0,3,124.3832480900036,False
data/sondes/qc/HURR1_/g120925020QC.nc,1.4888291496519395,288.5300001144409,-8.313321,53.536297,2014285N16305,3.0,10.0,4,123.91166817934693,False
data/sondes/qc/HURR1_/g120925021QC.nc,0.001335137867473745,206.20999755859373,6.161366,15.62576,2014284N10231,0.0,22.0,2,1121.3733070076137,True
data/sondes/qc/HURR1_/g120925025QC.nc,1.3411640939331506,287.15,-0.87881666,59.868195,2014285N16305,4.0,17.0,3,119.30283356607043,False
data/sondes/qc/HURR1_/g120925026QC.nc,0.0021656870801504136,211.26000061035154,20.501015,4.819294,2014284N10231,0.0,20.0,2,1019.5120517537539,True
data/sondes/qc/HURR1_/g120925029QC.nc,1.052380904366887,292.6800006866455,10.317404,-8.653553,2015229N10331,0.0,15.0,4,169.51121746127862,True
data/sondes/qc/HURR1_/g120925031QC.nc,1.6066913235788167,289.83000030517576,3.8378901,0.24560198,2014285N16305,3.0,20.0,3,179.9933723543112,False
data/sondes/qc/HURR1_/g120925033QC.nc,0.001758763842814323,207.9500030517578,-3.7814598,3.5005932,2014254N14327,3.0,20.0,4,372.8840465341009,False
data/sondes/qc/HURR1_/g120925034QC.nc,0.004055075056605393,214.67000045776365,9.81644,1.6661807,2015270N27291,3.0,15.0,1,345.78931200376275,False
data/sondes/qc/HURR1_/g120925037QC.nc,0.0008558516135201873,204.91999664306638,-1.6875759,-8.354587,2014284N10231,0.0,20.0,1,571.3507645490737,False
data/sondes/qc/HURR1_/g120925038QC.nc,0.0022079024233290405,205.09000244140623,4.442955,3.820104,2015270N27291,3.0,15.0,2,742.2256344216676,False
data/sondes/qc/HURR1_/g120925039QC.nc,1.1503946526375253,284.83000030517576,-18.64414,-17.465641,2014274N15260,0.0,20.0,3,62.606773211313495,False
data/sondes/qc/HURR1_/g120925040QC.nc,0.001336203005663744,210.15999832153318,-2.506366,4.7232666,2015229N10331,0.0,15.0,3,347.0654536474096,True
data/sondes/qc/HURR1_/g120925041QC.nc,1.136706496274999,289.88999977111814,48.023296,-1.6595256,2014285N16305,4.0,17.0,3,161.93558550279923,False
data/sondes/qc/HURR1_/g120925042QC.nc,0.00198949307796739,207.59999694824216,-1.3553655,11.0574665,2015209N07248,0.0,40.0,1,106.32465060955232,False
data/sondes/qc/HURR1_/g120925044QC.nc,0.001981073577496004,207.20999755859373,1.1261077,2.3595655,2014236N22288,0.0,60.0,2,128.80851286972933,False
